temp,prec,invierno,otoño,primavera,verano,mp25
18.6,0,0,0,1,0,6
13.3,0,0,0,1,0,5
13.2,0,0,0,1,0,6
15.15,0,0,0,1,0,6
16,0,0,0,1,0,9
14.36,0,0,0,0,1,7
14.92,0,0,0,0,1,4
14.8,0,0,0,0,1,2
15.3,0,0,0,0,1,4
17.6,0,0,0,0,1,5
18.8,0,0,0,0,1,4
17.4,0,0,0,0,1,6
17.7,0,0,0,0,1,7
17.7,0.2,0,0,0,1,5
15,0.6,0,0,0,1,5
11.1,0,0,0,0,1,10
13.8,0,0,0,0,1,6
15.5,0,0,0,0,1,6
20.8,0,0,0,0,1,5
19.5,0,0,0,0,1,3
13.6,0,0,0,0,1,2
16.8,0,0,0,0,1,3
18.7,0,0,0,0,1,4
17.9,0,0,0,0,1,4
16.2,0,0,0,0,1,5
14.9,0,0,0,0,1,5
18.3,0,0,0,0,1,5
17.2,0,0,0,0,1,5
16.2,0,0,0,0,1,7
13.1,6.8,0,0,0,1,5
16.5,0,0,0,0,1,8
15.2,0,0,0,0,1,8
15.9,0,0,0,0,1,4
15.7,0,0,0,0,1,5
16.6,0,0,0,0,1,4
17.3,0,0,0,0,1,4
17.2,0,0,0,0,1,4
15.3,9.8,0,0,0,1,3
16,0,0,0,0,1,6
16.4,0,0,0,0,1,9
16.5,0,0,0,0,1,4
16.8,0.8,0,0,0,1,2
15,0,0,0,0,1,3
15.5,0,0,0,0,1,5
16.6,0,0,0,0,1,4
17.1,0,0,0,0,1,5
17.8,0,0,0,0,1,4
15.2,0,0,0,0,1,5
14.4,0,0,0,0,1,4
14.1,0,0,0,0,1,4
15.3,0,0,0,0,1,5
17.5,0,0,0,0,1,4
14.8,0,0,0,0,1,5
16.6,0,0,0,0,1,5
19,0,0,0,0,1,6
17.1,0,0,0,0,1,3
18.1,0,0,0,0,1,3
13.4,0,0,0,0,1,5
14.2,0,0,0,0,1,3
14.1,0,0,0,0,1,4
14.5,0,0,0,0,1,4
13.6,0,0,0,0,1,6
13.5,0,0,0,0,1,4
15,0,0,0,0,1,2
16.5,0,0,0,0,1,5
16.5,0,0,0,0,1,3
15,0,0,0,0,1,5
17.4,0,0,0,0,1,4
17.3,1.2,0,0,0,1,3
19,0.6,0,0,0,1,2
14.5,0,0,0,0,1,2
15,0,0,0,0,1,5
16,2.4,0,0,0,1,4
15.3,4.6,0,0,0,1,2
17.1,0,0,0,0,1,5
14.3,0,0,0,0,1,4
14.4,10.6,0,0,0,1,4
15.9,0.1,0,0,0,1,4
15.3,6.8,0,0,0,1,5
15.3,10,0,0,0,1,9
17.3,16.8,0,0,0,1,7
14.1,0.6,0,0,0,1,8
10.6,0,0,0,0,1,10
12,0,0,0,0,1,15
13.1,0,0,0,0,1,8
11.8,0,0,0,0,1,9
12.8,0,0,0,0,1,6
14.6,0,0,0,0,1,8
11.7,0,0,0,0,1,7
12.7,0,0,0,0,1,22
14.5,0,0,0,0,1,14
17.6,0,0,0,0,1,19
16.2,0,0,0,0,1,10
16.4,0,0,0,0,1,5
20.8,0,0,0,0,1,9
17.3,0,0,1,0,0,4
13.9,0,0,1,0,0,4
17.6,0,0,1,0,0,6
17.7,0,0,1,0,0,6
19.5,0,0,1,0,0,7
15.8,0.4,0,1,0,0,8
15.6,0,0,1,0,0,12
17.2,0,0,1,0,0,9
14.8,3.2,0,1,0,0,7
13,0.2,0,1,0,0,7
